StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,aff_com1_likert7,aff_com2_likert7,aff_com3_likert7rev,aff_com4_likert7rev,aff_com5_likert7rev,aff_com6_likert7,contin_com1_likert7,contin_com2_likert7,contin_com3_likert7,contin_com4_likert7,contin_com5_likert7,contin_com6_likert7,normcom1_likert7rev,norm_com2_likert7,norm_com3_likert7,norm_com4_likert7,norm_com5_likert7,norm_com6_likert7,job_aff1_likert5,job_aff2_likert5,job_aff3_likert5,job_aff4_likert5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I would be very happy to spend the rest of my career with this organization.,I really feel as if this organization's problems are my own.,"I do not feel a strong sense of ""belonging"" to my organization.","I do not feel ""emotionally attached"" to this organization.","I do not feel like ""part of the family"" at my organization.",This organization has a great deal of personal meaning for me.,"Right now, staying with my organization is a  matter of necessity as much as desire.","It would be very hard for me to leave my organization right now, even if I wanted to.",Too much of my life would be disrupted if I decided I wanted to leave my organization now.,I feel that I have too few options to consider leaving this organization.,"If I had not already put so much of myself into this organization, I might consider working elsewhere.",One of the few negative consequences of leaving this organization would be the scarcity of available alternatives.,I do not feel any obligation to remain with my current employer.,"Even if it were to my advantage, I do not feel it would be right to leave my organization now.",I would feel guilty if I left my organization now.,This organization deserves my loyalty.,I would not leave my organization right now because I have a sense of obligation to the people in it.,I owe a great deal to my organization.,I find real enjoyment in my jobI find real enjoyment in my job,I like my job better than the average person,Most days I am enthusiastic about my job,I feel fairly well satisfied with my job
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}"
2021-08-10 11:57:03,2021-08-10 11:57:03,Survey Test,,100,0,True,2021-08-10 11:57:03,R_5tDI3UBiTxdlQuW,,,,,43.518096923828125,-80.1873016357421875,test,,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral
2021-08-10 11:57:03,2021-08-10 11:57:03,Survey Test,,100,0,True,2021-08-10 11:57:03,R_3qtV2MXnCeunxOe,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Agree,Moderately Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Moderately Disagree,Slightly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral
2021-08-10 11:57:03,2021-08-10 11:57:03,Survey Test,,100,0,True,2021-08-10 11:57:03,R_6VhJPTlik8lg2hw,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Moderately Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Moderately Disagree,Neutral,Disagree,Strongly Agree,Neutral
2021-08-10 11:57:03,2021-08-10 11:57:03,Survey Test,,100,0,True,2021-08-10 11:57:03,R_ac9n169VnQEffkW,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Slightly Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Neither Agree nor Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree
2021-08-10 11:57:03,2021-08-10 11:57:03,Survey Test,,100,0,True,2021-08-10 11:57:03,R_71kdNZEPpnsSAaG,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Agree,Slightly Agree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Slightly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Moderately Agree,Slightly Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree
2021-08-10 11:57:03,2021-08-10 11:57:03,Survey Test,,100,0,True,2021-08-10 11:57:03,R_d6AqzStJMlcQWKa,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Slightly Disagree,Moderately Agree,Slightly Disagree,Slightly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_brbAu6zeOrdxAQ6,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Slightly Disagree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Slightly Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_8tWdBqfv4FUjUkm,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Agree,Slightly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Moderately Agree,Agree,Strongly Disagree,Agree,Strongly Disagree
